Issue_Num,Author_Login,File_Name,Patch_Text,Commit_Message,Commit_Title
1,Jan Piotrowski,['README.md'],"@@ -42,7 +42,6 @@ A list of all repositories on GitHub:
 - https://github.com/apache/cordova-lib
 - https://github.com/apache/cordova-cli
 - https://github.com/apache/cordova-coho
-- https://github.com/apache/cordova-medic
 - https://github.com/apache/cordova-paramedic
 - https://github.com/apache/cordova-mobile-spec
 - https://github.com/apache/cordova-plugin-test-framework
@@ -104,6 +103,7 @@ A list of all repositories on GitHub:
 
 ### Unused / Outdated / Deprecated
 
+- https://github.com/apache/cordova-medic
 - https://github.com/apache/cordova-labs
 - https://github.com/apache/cordova-weinre
 - https://github.com/apache/cordova-app-harness, ",I added a grouped list of all GitHub repos of Cordova.,grouped list of all github repos
11,Raphael von der Grün,['README.md'],"@@ -103,7 +103,6 @@ All Cordova code is hosted in repositories on GitHub. Here is a full list of all
 ### Templates
 
 - [apache/cordova-app-hello-world](https://github.com/apache/cordova-app-hello-world)
-- [apache/cordova-template-reference](https://github.com/apache/cordova-template-reference)
 
 ### Documentation and Website(s)
 
@@ -131,4 +130,4 @@ All Cordova code is hosted in repositories on GitHub. Here is a full list of all
 - [apache/cordova-registry-web](https://github.com/apache/cordova-registry-web)
 - [apache/cordova-registry](https://github.com/apache/cordova-registry)
 - [apache/cordova-fauxton-server](https://github.com/apache/cordova-fauxton-server)
-
+- [apache/cordova-template-reference](https://github.com/apache/cordova-template-reference), ",See https://github.com/apache/cordova-discuss/issues/91,Deprecate template-reference in favor of app-hello-world
34,Jan Piotrowski,['README.md'],"@@ -34,8 +34,7 @@ Here is a full list of all repositories:
 
 - [apache/cordova-electron](https://github.com/apache/cordova-electron)
 
-<details>
-  <summary>Deprecated platforms</summary>
+<details><summary>Deprecated platforms</summary>
 
 #### Deprecated platforms
 
@@ -77,9 +76,8 @@ Here is a full list of all repositories:
 
 - [apache/cordova-plugins](https://github.com/apache/cordova-plugins)
 
-<details>
-  <summary>Deprecated Core Plugins</summary>
-  
+<details><summary>Deprecated Core Plugins</summary>
+
 #### Deprecated Core Plugins
 
 - [apache/cordova-plugin-console](https://github.com/apache/cordova-plugin-console)
@@ -120,24 +118,27 @@ Here is a full list of all repositories:
 
 ### Documentation and Website(s)
 
+- [apache/cordova](https://github.com/apache/cordova)
 - [apache/cordova-docs](https://github.com/apache/cordova-docs)
 - [apache/cordova-status](https://github.com/apache/cordova-status)
 
+<details><summary>Organization / Apache</summary>
+
 ### Organization / Apache
 
 - [apache/cordova-contribute](https://github.com/apache/cordova-contribute)
 - [apache/cordova-discuss](https://github.com/apache/cordova-discuss)
 - [apache/cordova-apache-board-reports](https://github.com/apache/cordova-apache-board-reports)
 - [apache/cordova-new-committer-and-pmc](https://github.com/apache/cordova-new-committer-and-pmc)
 
+</details>
+
 ### Other
 
 - [apache/cordova-node-xcode](https://github.com/apache/cordova-node-xcode)
 
+<details><summary>Unused / Outdated / Deprecated</summary>
 
-<details>
-  <summary>Unused / Outdated / Deprecated</summary>
-  
 ### Unused / Outdated / Deprecated
 
 - [apache/cordova-medic](https://github.com/apache/cordova-medic)
@@ -151,3 +152,5 @@ Here is a full list of all repositories:
 - [apache/cordova-template-reference](https://github.com/apache/cordova-template-reference)
 
 </details>
+
+, ",NaN,add link to cordova-status page and hide deprecated repos
207,,['tweets/README.md'],"@@ -0,0 +1,36 @@
+# The tweets/ folder
+
+To create a new tweet create a new `*.tweet` file in this `tweets/` folder.
+
+<kbd>[Create new tweet](../../../new/master/?filename=tweets/<your-path>.tweet)</kbd>
+
+## Example
+
+Create a new file `tweets/hello-world.tweet` with the content
+
+> Hello, world!
+
+You can use subfolders, e.g. `tweets/2019-02/hello-world.tweet`, as long as the file is in the `tweets/` folder and has the `.tweet` file extension
+
+## Create a tweet with a twitter poll
+
+**Note**: The configured twitter account needs to be authorized to use Twitters Ads API in order to send tweets including a poll.
+
+A tweet including a poll must end with 2-4 options in the following format
+
+> Here is some text
+>
+> ( ) option A  
+> ( ) option B  
+> ( ) option C  
+> ( ) option D
+
+## Notes
+
+- Only newly created files are handled, deletions, updates or renames are ignored.
+- `*.tweet` files will not be created for tweets you send out directly from twitter.com
+- If you need to rename an existing tweet file, please do so locally using [`git mv old_filename new_filename`](https://help.github.com/en/articles/renaming-a-file-using-the-command-line), otherwise it may occur as deleted and added which would trigger a new tweet.
+
+## Questions?
+
+If you have any further questions or suggestions, please create an issue at https://github.com/gr2m/twitter-together/issues/new, ","This pull requests creates the `tweets/` folder where your `*.tweet` files go into. It also creates the `tweets/README.md` file with instructions.

Note that if you plan to support tweets with polls, your twitter app has to be approved for Twitters Ads API. See [The Ads API Application Form](https://github.com/gr2m/twitter-together/blob/master/docs/03-apply-for-access-to-the-twitter-ads-api.md) documentation for more details.

Enjoy!",🐦 twitter-together setup
208,Jesse MacFadyen,['tweets/firstTest.tweet'],"@@ -0,0 +1,2 @@
+Mr. Watson — Come here — I want to see you.
+Testing out twitter-together., ","<!--
Please make sure the checklist boxes are all checked before submitting the PR. The checklist is intended as a quick reference, for complete details please see our Contributor Guidelines:

http://cordova.apache.org/contribute/contribute_guidelines.html

Thanks!
-->

### Platforms affected



### Motivation and Context
<!-- Why is this change required? What problem does it solve? -->
<!-- If it fixes an open issue, please link to the issue here. -->



### Description
<!-- Describe your changes in detail -->



### Testing
<!-- Please describe in detail how you tested your changes. -->



### Checklist

- [ ] I've run the tests to see all new and existing tests pass
- [ ] I added automated test coverage as appropriate for this change
- [ ] Commit is prefixed with `(platform)` if this change only applies to one platform (e.g. `(android)`)
- [ ] If this Pull Request resolves an issue, I linked to the issue in the text above (and used the correct [keyword to close issues using keywords](https://help.github.com/articles/closing-issues-using-keywords/))
- [ ] I've updated the documentation if necessary",first test of twitter together
234,Jesse MacFadyen,['tweets/welcome.tweet'],"@@ -0,0 +1,2 @@
+Apache Cordova is now using twitter-together! You can now expect more frequent messages from us.
+https://github.com/gr2m/twitter-together, ","<!--
Please make sure the checklist boxes are all checked before submitting the PR. The checklist is intended as a quick reference, for complete details please see our Contributor Guidelines:

http://cordova.apache.org/contribute/contribute_guidelines.html

Thanks!
-->

### Platforms affected



### Motivation and Context
<!-- Why is this change required? What problem does it solve? -->
<!-- If it fixes an open issue, please link to the issue here. -->



### Description
<!-- Describe your changes in detail -->



### Testing
<!-- Please describe in detail how you tested your changes. -->



### Checklist

- [ ] I've run the tests to see all new and existing tests pass
- [ ] I added automated test coverage as appropriate for this change
- [ ] Commit is prefixed with `(platform)` if this change only applies to one platform (e.g. `(android)`)
- [ ] If this Pull Request resolves an issue, I linked to the issue in the text above (and used the correct [keyword to close issues using keywords](https://help.github.com/articles/closing-issues-using-keywords/))
- [ ] I've updated the documentation if necessary",Create welcome.tweet
235,Niklas Merz,['tweets/goodbye-phonegap.tweet'],"@@ -1,3 +1,3 @@
-The contributors of Apache Cordova would like thank the @phonegap team and say goodbye. The core of PhoneGap is still alive as Apache Cordova.
+The contributors of Apache Cordova would like to thank the @phonegap team and say goodbye. The core of PhoneGap is still alive as Apache Cordova.
 
 https://cordova.apache.org/announcements/2020/08/14/goodbye-phonegap.html, ","Tweet new blog post: https://github.com/apache/cordova-docs/pull/1114/files

**Wait until it's deployed**","Create ""Goodbye Phonegap"" tweet."
240,Raphael von der Grün,['README.md'],"@@ -12,7 +12,11 @@ To file a bug, or raise another type of issue, please navigate to the appropriat
 
 ## Repositories
 
-All Cordova code is hosted in repositories on GitHub. 
+All Cordova code is hosted in repositories on GitHub.
+
+An overview of the dependencies among a selection of these repositories is shown in below graph. The leading `apache/cordova-` has been stripped from all repository names. Dotted edges are implicit dependencies (i.e. not expressed in `package.json`).
+
+[![Cordova Dependency Graph](https://sketchviz.com/@raphinesse/a6f28acb2281b782d9fb5ef486834deb/fbb1d0715431bdd67a9bc430a8d0a9899b145bf9.sketchy.png)](//sketchviz.com/@raphinesse/a6f28acb2281b782d9fb5ef486834deb)
 
 Continuous Integration status of all relevant repositories: https://apache.github.io/cordova-status/
 , ","### Motivation and Context
<!-- Why is this change required? What problem does it solve? -->
<!-- If it fixes an open issue, please link to the issue here. -->
Provide a high-level overview about the package relationships in a prominent place.


### Description
<!-- Describe your changes in detail -->
Added a sketchy dependency graph of a subset of Cordova. Including a link to the Graphviz source code, so the graph can be adjusted if necessary.",Add dependency overview to README.md
241,Darryl Pogue,['tweets/cordova-ios-6.1.1.tweet'],"@@ -0,0 +1,3 @@
+Cordova iOS 6.1.1 patch update has been released! This fixes issues when deploying to connected devices.
+
+https://cordova.apache.org/announcements/2020/08/31/cordova-ios-6.1.1.html, ",Tweet announcement linking to the blog post: https://cordova.apache.org/announcements/2020/08/31/cordova-ios-6.1.1.html,Create cordova-ios@6.1.1 tweet
243,エリス,['README.md'],"@@ -58,8 +58,11 @@ Here is a full list of all repositories:
 - [apache/cordova-plugin-battery-status](https://github.com/apache/cordova-plugin-battery-status)
 - [apache/cordova-plugin-camera](https://github.com/apache/cordova-plugin-camera)
 - [apache/cordova-plugin-device](https://github.com/apache/cordova-plugin-device)
+- [apache/cordova-plugin-device-motion](https://github.com/apache/cordova-plugin-device-motion)
+- [apache/cordova-plugin-device-orientation](https://github.com/apache/cordova-plugin-device-orientation)
 - [apache/cordova-plugin-dialogs](https://github.com/apache/cordova-plugin-dialogs)
 - [apache/cordova-plugin-file](https://github.com/apache/cordova-plugin-file)
+- [apache/cordova-plugin-file-transfer](https://github.com/apache/cordova-plugin-file-transfer)
 - [apache/cordova-plugin-geolocation](https://github.com/apache/cordova-plugin-geolocation)
 - [apache/cordova-plugin-inappbrowser](https://github.com/apache/cordova-plugin-inappbrowser)
 - [apache/cordova-plugin-media](https://github.com/apache/cordova-plugin-media)
@@ -82,9 +85,6 @@ Here is a full list of all repositories:
 
 - [apache/cordova-plugin-console](https://github.com/apache/cordova-plugin-console)
 - [apache/cordova-plugin-contacts](https://github.com/apache/cordova-plugin-contacts)
-- [apache/cordova-plugin-device-motion](https://github.com/apache/cordova-plugin-device-motion)
-- [apache/cordova-plugin-device-orientation](https://github.com/apache/cordova-plugin-device-orientation)
-- [apache/cordova-plugin-file-transfer](https://github.com/apache/cordova-plugin-file-transfer)
 - [apache/cordova-plugin-globalization](https://github.com/apache/cordova-plugin-globalization)
 - [apache/cordova-plugin-legacy-whitelist](https://github.com/apache/cordova-plugin-legacy-whitelist)
 , ","Add following plugins to active list:

- apache/cordova-plugin-device-motion
- apache/cordova-plugin-device-orientation
- apache/cordova-plugin-file-transfer",chore: update active plugin list
