Issue_Num,Author_Login,File_Name,Patch_Text,Commit_Message,Commit_Title
634,Jake Wharton,['README.md'],"@@ -16,9 +16,9 @@ There are a few open-source projects that can convert Java objects to JSON. Howe
 
 *Gson Documentation*
   * Gson [API](http://google-gson.googlecode.com/svn/trunk/gson/docs/javadocs/index.html): Javadocs for the current Gson release
-  * Gson [user guide](http://sites.google.com/site/gson/gson-user-guide user guide): This guide contains examples on how to use Gson in your code.
+  * Gson [user guide](http://sites.google.com/site/gson/gson-user-guide): This guide contains examples on how to use Gson in your code.
   * Gson [Roadmap](https://sites.google.com/site/gson/gson-roadmap): Details on upcoming releases 
-  * Gson [design document](https://sites.google.com/site/gson/gson-design-document design document): This document discusses issues we faced while designing Gson. It also include a comparison of Gson with other Java libraries that can be used for Json conversion
+  * Gson [design document](https://sites.google.com/site/gson/gson-design-document): This document discusses issues we faced while designing Gson. It also include a comparison of Gson with other Java libraries that can be used for Json conversion
 
 Please use the [google-gson Google group](http://groups.google.com/group/google-gson) to discuss Gson, or to post questions. 
 , ",Closes #633. ,Correct 'user guide' and 'design document' Markdown links.
652,Sebastian Chlan,['gson/src/main/java/com/google/gson/FieldNamingPolicy.java'],"@@ -17,6 +17,7 @@
 package com.google.gson;
 
 import java.lang.reflect.Field;
+import java.util.Locale;
 
 /**
  * An enumeration that defines a few standard naming conventions for JSON field names.
@@ -88,7 +89,7 @@ public String translateName(Field f) {
    */
   LOWER_CASE_WITH_UNDERSCORES() {
     public String translateName(Field f) {
-      return separateCamelCase(f.getName(), ""_"").toLowerCase();
+      return separateCamelCase(f.getName(), ""_"").toLowerCase(Locale.ENGLISH);
     }
   },
 
@@ -111,7 +112,7 @@ public String translateName(Field f) {
    */
   LOWER_CASE_WITH_DASHES() {
     public String translateName(Field f) {
-      return separateCamelCase(f.getName(), ""-"").toLowerCase();
+      return separateCamelCase(f.getName(), ""-"").toLowerCase(Locale.ENGLISH);
     }
   };
 , ","### Description

When using `LOWER_CASE_WITH_DASHES` or `LOWER_CASE_WITH_UNDERSCORES` as FieldNamingPolicy it could happen that certain fields won't get serialized/deserialized. 
I've seen that behavior on devices with a turkish (`tr-TR`) locale. `toLowerCase()` uses the device's locale and converts an `I` into an `ı`. ([JavaDoc](http://docs.oracle.com/javase/7/docs/api/java/lang/String.html#toLowerCase%28%29))
### Example

A field with the name: 

```
...
int lowerId = 8;
....
```

will turn into:

```
{ ... 'lower-ıd':8 ... }
```
### Recreation steps

Check out the first commit (299ee89) and run the test with the following JVM flags:  `-Duser.language=tr -Duser.region=TR`
### References

https://code.google.com/p/google-gson/issues/detail?id=541
http://docs.oracle.com/javase/7/docs/api/java/lang/String.html#toLowerCase()",Fix issues if runing in an environment with a Turkish locale
657,Jake Wharton,['gson/src/main/java/com/google/gson/TypeAdapter.java'],"@@ -211,9 +211,13 @@ public final void toJson(Writer out, T value) throws IOException {
    * @param value the Java object to convert. May be null.
    * @since 2.2
    */
-  public final String toJson(T value) throws IOException {
+  public final String toJson(T value) {
     StringWriter stringWriter = new StringWriter();
-    toJson(stringWriter, value);
+    try {
+      toJson(stringWriter, value);
+    } catch (IOException e) {
+      throw new AssertionError(e); // No I/O writing to a StringWriter.
+    }
     return stringWriter.toString();
   }
 , ",NaN,There is no I/O writing to a StringWriter.
658,Jake Wharton,['.travis.yml'],"@@ -0,0 +1,21 @@
+language: java
+
+jdk:
+  - oraclejdk7
+  - oraclejdk8
+
+install: mvn -f gson install -DskipTests=true
+script: mvn -f gson test
+
+branches:
+  except:
+    - gh-pages
+
+notifications:
+  email: false
+
+sudo: false
+
+cache:
+  directories:
+    - $HOME/.m2, ",NaN,Add Travis CI build.
659,Jake Wharton,['.gitignore'],"@@ -0,0 +1,16 @@
+.classpath
+.project
+.settings
+eclipsebin
+
+target
+pom.xml.*
+release.properties
+
+.idea
+*.iml
+*.ipr
+*.iws
+classes
+
+.DS_Store, ",NaN,"Add gitignore for Maven, Eclipse, IDEA, and OSX files."
664,Stefan Ferstl,"['gson/pom.xml', 'gson/src/main/java/com/google/gson/Gson.java']","@@ -49,6 +49,12 @@
     <url>http://www.google.com</url>
   </organization>
   <dependencies>
+    <dependency>
+      <groupId>com.google.code.findbugs</groupId>
+      <artifactId>jsr305</artifactId>
+      <version>3.0.0</version>
+      <optional>true</optional>
+    </dependency>
     <dependency>
       <groupId>junit</groupId>
       <artifactId>junit</artifactId>, @@ -31,6 +31,8 @@
 import java.util.List;
 import java.util.Map;
 
+import javax.annotation.concurrent.ThreadSafe;
+
 import com.google.gson.internal.ConstructorConstructor;
 import com.google.gson.internal.Excluder;
 import com.google.gson.internal.Primitives;
@@ -96,6 +98,7 @@
  * @author Joel Leitch
  * @author Jesse Wilson
  */
+@ThreadSafe
 public final class Gson {
   static final boolean DEFAULT_JSON_NON_EXECUTABLE = false;
 , ","This PR solves Issue #613 that I submitted several months ago on Google Code.

Summary:
- Add an optional dependency to com.google.code.findbugs:jsr305.
  The optional scope is used in order to avoid introducing a new
  transitive dependency to the jsr305 library. This is fine because the 
  @ThreadSafe annotation has only a documentary purpose and it is not
  retained at runtime.
- Annotate the Gson class as @ThreadSafe",Add a JSR-305 @ThreadSafe annotation to the Gson class
667,Adam Tanner,"['gson/src/main/java/com/google/gson/stream/JsonWriter.java', 'gson/src/test/java/com/google/gson/stream/JsonWriterTest.java']","@@ -420,6 +420,23 @@ public JsonWriter value(String value) throws IOException {
     return this;
   }
 
+  /**
+   * Writes {@code value} directly to the writer without quoting or
+   * escaping.
+   *
+   * @param value the literal string value, or null to encode a null literal.
+   * @return this writer.
+   */
+  public JsonWriter jsonValue(String value) throws IOException {
+    if (value == null) {
+      return nullValue();
+    }
+    writeDeferredName();
+    beforeValue(false);
+    out.append(value);
+    return this;
+  }
+
   /**
    * Encodes {@code null}.
    *, @@ -126,6 +126,18 @@ public void testNullStringValue() throws IOException {
     assertEquals(""{\""a\"":null}"", stringWriter.toString());
   }
 
+  public void testJsonValue() throws IOException {
+    StringWriter stringWriter = new StringWriter();
+    JsonWriter jsonWriter = new JsonWriter(stringWriter);
+    jsonWriter.beginObject();
+    jsonWriter.name(""a"");
+    jsonWriter.jsonValue(""{\""b\"":true}"");
+    jsonWriter.name(""c"");
+    jsonWriter.value(1);
+    jsonWriter.endObject();
+    assertEquals(""{\""a\"":{\""b\"":true},\""c\"":1}"", stringWriter.toString());
+  }
+
   public void testNonFiniteDoubles() throws IOException {
     StringWriter stringWriter = new StringWriter();
     JsonWriter jsonWriter = new JsonWriter(stringWriter);, ","Add a polymorphic version of `value(String value)` that takes an additional boolean argument (`encode`) that can be used to write the string directly to the underlying writer without modification, while maintaining the state of the `JsonWriter` so that it can continue to be written to.

The intended use case for this is when building JSON that contains a pre-serialized JSON string as a value in an object or array.

Alternative API ideas/open questions:
-  Should a separate method be used instead of a polymorphic version of `value(String)`? Maybe something like `rawValue(String)`?",JsonWriter#value supports opaque JSON values.
669,Adam Tanner,['gson/src/test/java/com/google/gson/DefaultInetAddressTypeAdapterTest.java'],"@@ -35,11 +35,11 @@ protected void setUp() throws Exception {
   }
   
   public void testInetAddressSerializationAndDeserialization() throws Exception {
-    InetAddress localhost = InetAddress.getLocalHost();
-    String localInetAddress = gson.toJson(localhost);
-    assertEquals(""\"""" + localhost.getHostAddress() + ""\"""", localInetAddress);
+    InetAddress address = InetAddress.getByName(""8.8.8.8"");
+    String jsonAddress = gson.toJson(address);
+    assertEquals(""\""8.8.8.8\"""", jsonAddress);
     
-    InetAddress value = gson.fromJson(localInetAddress, InetAddress.class);
-    assertEquals(localhost, value);
+    InetAddress value = gson.fromJson(jsonAddress, InetAddress.class);
+    assertEquals(value, address);
   } 
 }, ","Calling InetAddress.getLocalHost() will cause a lookup to occur that may
fail with a java.net.UnknownHostException if the system the test is
running on is not configured correctly.

This is often fixed by echoing ""127.0.0.1 $HOSTNAME"" to /etc/hosts, but
in this case it seems easier to pick a static IP string to avoid the
lookup entirely and prevent false negatives in the test.",Replace localhost lookup with static IP to fix test.
670,Adam Tanner,['gson/pom.xml'],"@@ -11,7 +11,7 @@
     <artifactId>oss-parent</artifactId>
     <version>9</version>
   </parent>
-  <url>http://code.google.com/p/google-gson/</url>
+  <url>https://github.com/google/gson</url>
   <description>Google Gson library</description>
   <properties>
     <project.build.sourceEncoding>UTF-8</project.build.sourceEncoding>
@@ -24,13 +24,14 @@
     </license>
   </licenses>
   <scm>
-    <connection>scm:svn:http://google-gson.googlecode.com/svn/trunk/gson</connection>
-    <developerConnection>scm:svn:https://google-gson.googlecode.com/svn/trunk/gson</developerConnection>
-    <url>http://google-gson.googlecode.com/svn/trunk/gson</url>
+    <connection>scm:git:https://github.com/google/gson.git</connection>
+    <developerConnection>scm:git:https://github.com/google/gson.git</developerConnection>
+    <url>https://github.com/google/gson</url>
+    <tag>gson-${project.version}</tag>
   </scm>
   <issueManagement>
-    <system>Google Code Issue Tracking</system>
-    <url>http://code.google.com/p/google-gson/issues/list</url>
+    <system>Github Issue Tracking</system>
+    <url>https://github.com/google/gson/issues</url>
   </issueManagement>
   <distributionManagement>
     <snapshotRepository>
@@ -140,7 +141,7 @@
               <Bundle-RequiredExecutionEnvironment>J2SE-1.5, JavaSE-1.6, JavaSE-1.7, JavaSE-1.8</Bundle-RequiredExecutionEnvironment>
               <Export-Package><![CDATA[com.google.gson;version=${project.version}, com.google.gson.annotations;version=${project.version}, com.google.gson.reflect;version=${project.version}, com.google.gson.stream;version=${project.version}, com.google.gson.internal;version=${project.version}, com.google.gson.internal.bind;version=${project.version}]]></Export-Package>
               <Bundle-Version>${project.version}</Bundle-Version>
-              <Bundle-ContactAddress>http://code.google.com/p/google-gson/</Bundle-ContactAddress>
+              <Bundle-ContactAddress>https://github.com/google/gson</Bundle-ContactAddress>
               <Bundle-Vendor>Google Gson Project</Bundle-Vendor>
               <Bundle-Name>${project.name}</Bundle-Name>
               <Bundle-Description>${project.description}</Bundle-Description>
@@ -220,7 +221,6 @@
         <!-- version>2.5</version -->
         <configuration>
           <arguments>-DenableCiProfile=true</arguments>
-          <tagBase>https://google-gson.googlecode.com/svn/tags</tagBase>
         </configuration>
       </plugin>
       <plugin>
@@ -249,4 +249,3 @@
     </developer>
   </developers>
 </project>
-, ","Not sure if this is entirely correct, but thought this might be blocking new releases so I figured I'd give it a shot. Let me know if this looks right.

Related: #668 ",Change references to Google Code to Github in pom.xml.
671,,['gson/src/test/java/com/google/gson/functional/JsonArrayTest.java'],"@@ -127,6 +127,22 @@ public void testMixedPrimitiveAddition() {
     assertEquals(""[\""a\"",\""apple\"",12121,\""o\"",null,null,12.232,2323]"", jsonArray.toString());
   }
 
+  public void testNullPrimitiveAddition() {
+    JsonArray jsonArray = new JsonArray();
+
+    jsonArray.add((Character) null);
+    jsonArray.add((Boolean) null);
+    jsonArray.add((Integer) null);
+    jsonArray.add((Double) null);
+    jsonArray.add((Float) null);
+    jsonArray.add((BigInteger) null);
+    jsonArray.add((String) null);
+    jsonArray.add((Boolean) null);
+    jsonArray.add((Number) null);
+
+    assertEquals(""[null,null,null,null,null,null,null,null,null]"", jsonArray.toString());
+  }
+
   public void testSameAddition() {
     JsonArray jsonArray = new JsonArray();
 , ","Overloaded the ""add(...)"" method in JsonArray to support directly putting in primitives as arguments.

Now instead of inserting them in the old overly verbose way:

``` java
JsonArray array = new JsonArray();
array.add(new JsonPrimitive(true));
array.add(new JsonPrimitive(12));
array.add(new JsonPrimitive(""hello""));
array.add(new JsonPrimitive('c'));
```

You can do:

``` java
JsonArray array = new JsonArray();
array.add(true);
array.add(12);
array.add(""hello"");
array.add('c');
```",Support for adding primitives directly to JsonArray instances
